Date,Open,High,Low,Close,Adj Close,Volume
2014-05-05,23.400000,24.182501,22.605000,23.629999,23.450619,893600
2014-05-12,24.000000,24.780001,23.635000,24.315001,24.130421,738000
2014-05-19,24.152500,25.612499,24.070000,25.605000,25.410627,640000
2014-05-26,25.924999,26.697500,25.717501,26.559999,26.358379,501200
2014-06-02,26.802500,27.395000,26.020000,27.362499,27.154787,443600
2014-06-09,27.365000,27.730000,26.495001,27.197500,26.991043,646400
2014-06-16,27.165001,27.959999,26.940001,27.517500,27.308611,842400
2014-06-23,27.445000,28.112499,27.037500,27.959999,27.747751,824800
2014-06-30,28.000000,29.440001,27.837500,29.375000,29.152012,476400
2014-07-07,29.410000,29.500000,27.852501,29.212500,28.990744,770800
2014-07-14,29.750000,30.805000,29.187500,30.507500,30.275911,985200
2014-07-21,30.412500,31.532499,30.000000,31.000000,30.764671,712000
2014-07-28,31.165001,31.775000,28.472500,28.872499,28.653324,1467200
2014-08-04,29.129999,29.684999,27.712500,28.552500,28.335756,1005200
2014-08-11,28.915001,30.365000,28.615000,29.957500,29.730091,990800
2014-08-18,30.477501,32.032501,30.370001,31.820000,31.578447,789200
2014-08-25,32.417500,32.417500,31.490000,32.217499,31.972933,530400
2014-09-01,32.262501,32.512501,31.440001,32.222500,31.977892,670000
2014-09-08,32.222500,32.817501,31.437500,31.955000,31.712425,877600
2014-09-15,32.115002,33.277500,31.002501,32.762501,32.513798,1067600
2014-09-22,32.572498,32.590000,30.385000,31.315001,31.077284,1402800
2014-09-29,30.480000,32.000000,29.127501,30.762501,30.528975,1572000
2014-10-06,31.035000,31.389999,27.227501,27.227501,27.020813,2160400
2014-10-13,27.167500,27.847500,24.135000,26.344999,26.145012,3444400
2014-10-20,25.747499,29.750000,25.540001,29.730000,29.504314,1961600
2014-10-27,29.817499,32.712502,29.355000,32.639999,32.392223,1538400
2014-11-03,32.750000,33.750000,32.512501,33.369999,33.116680,789600
2014-11-10,33.450001,35.334999,33.227501,35.334999,35.066765,675600
2014-11-17,35.127499,36.337502,34.285000,35.450001,35.180893,819200
2014-11-24,35.862499,37.810001,35.392502,37.547501,37.262470,500800
2014-12-01,37.157501,37.382500,35.799999,36.567501,36.289909,990000
2014-12-08,36.250000,36.512501,32.685001,32.717499,32.469139,1508000
2014-12-15,33.192501,36.012501,30.790001,35.560001,35.290058,2195200
2014-12-22,35.915001,37.575001,35.580002,37.369999,37.086319,1018400
2014-12-29,37.372501,37.372501,34.137501,34.702499,34.439072,1223200
2015-01-05,34.035000,35.349998,31.375000,34.382500,34.121498,2162800
2015-01-12,34.537498,35.310001,30.977501,32.427502,32.181339,1802800
2015-01-19,32.740002,35.314999,31.862499,34.860001,34.595371,1032000
2015-01-26,35.017502,35.017502,30.432501,31.025000,30.789484,2657600
2015-02-02,30.924999,34.692501,29.742500,33.767502,33.511166,1886000
2015-02-09,33.122501,37.722500,33.122501,37.687500,37.401409,1450800
2015-02-16,37.715000,38.892502,37.410000,38.802502,38.507950,791200
2015-02-23,39.057499,39.435001,38.202499,38.820000,38.525311,1146400
2015-03-02,38.820000,39.825001,36.805000,36.930000,36.649658,1385600
2015-03-09,37.020000,37.875000,33.990002,34.535000,34.272835,1945600
2015-03-16,34.669998,38.125000,34.669998,37.582500,37.297207,1506000
2015-03-23,37.582500,38.077499,33.424999,34.544998,34.282761,1367600
2015-03-30,35.212502,35.794998,33.832500,34.637501,34.374565,750800
2015-04-06,33.817501,36.259998,33.650002,36.259998,35.984745,869600
2015-04-13,36.357498,36.895000,34.345001,34.592499,34.329899,1040800
2015-04-20,35.084999,39.025002,35.084999,38.794998,38.500492,1606000
2015-04-27,39.250000,40.047501,36.990002,38.722500,38.428551,1795600
2015-05-04,38.922501,39.419998,35.459999,38.382500,38.091129,1208400
